"filename", "language", "JavaScript", "Vue", "HTML", "Markdown", "JSON", "JSON with Comments", "CSS", "XML", "comment", "blank", "total"
"e:\关于前端\vue2项目\飞书项目\chatingroom\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"e:\关于前端\vue2项目\飞书项目\chatingroom\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\关于前端\vue2项目\飞书项目\chatingroom\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 0, 12, 0, 20
"e:\关于前端\vue2项目\飞书项目\chatingroom\package-lock.json", "JSON", 0, 0, 0, 0, 19728, 0, 0, 0, 0, 1, 19729
"e:\关于前端\vue2项目\飞书项目\chatingroom\package.json", "JSON", 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 54
"e:\关于前端\vue2项目\飞书项目\chatingroom\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 1, 1, 22
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\App.vue", "Vue", 0, 47, 0, 0, 0, 0, 0, 0, 2, 4, 53
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\api\LoginAndRegister.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\api\account.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 12, 20, 114
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\api\contacts.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 9, 8, 78
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\api\group.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 10, 8, 97
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\api\message.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 5, 2, 37
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\api\setting.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\dlbox.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\alert.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\aside.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\autocomplete.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\avatar.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\backtop.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\badge.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\base.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\breadcrumb-item.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\breadcrumb.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\button-group.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\button.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\calendar.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\card.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\carousel-item.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\carousel.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\cascader-panel.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\cascader.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\checkbox-button.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\checkbox-group.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\checkbox.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\col.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\collapse-item.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\collapse.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\color-picker.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\container.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\date-picker.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\descriptions-item.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\descriptions.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\dialog.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\display.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\divider.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\drawer.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\dropdown-item.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\dropdown-menu.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\dropdown.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\empty.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\footer.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\form-item.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\form.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\assets\theme\header.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
